   0.0000000e+00	   1.4191071e+01	   3.0626129e+00	
   0.0000000e+00	   0.0000000e+00	   0.0000000e+00	
   0.0000000e+00	  -1.4428274e+01	   5.7858685e+00	
  -1.5313502e+01	  -3.3007143e+01	  -3.1799930e-01	
   1.5237684e+01	  -3.3429464e+01	   1.0807148e-01	
   0.0000000e+00	  -4.2810119e+01	   2.0663511e+01	
  -1.8666372e+01	  -4.6222917e+01	   3.2945176e+00	
   1.8935200e+01	  -4.6408036e+01	   3.1143347e+00	
   0.0000000e+00	  -5.4389286e+01	   6.5325838e+00	
  -5.4720233e+01	  -3.0620536e+01	  -1.3457145e+01	
   5.4949805e+01	  -3.0477083e+01	  -1.3480325e+01	
  -7.7808354e+01	  -1.9485417e+01	  -6.5819859e+01	
   7.7033200e+01	  -1.9919643e+01	  -6.4585374e+01	
  -7.8781357e+01	  -3.0355060e+01	  -8.8296473e+01	
   7.7695574e+01	  -3.0527679e+01	  -8.8192933e+01	
  -2.4505973e+01	  -7.9728869e+01	  -5.2293558e+00	
   2.4591592e+01	  -7.9730655e+01	  -5.7209078e+00	
   0.0000000e+00	  -9.7098214e+01	   0.0000000e+00	
   0.0000000e+00	  -1.1016161e+02	  -1.6754236e-01	
   0.0000000e+00	  -1.2339643e+02	  -1.0038501e+01	
  -1.0029255e+01	  -7.1669643e+00	  -5.5838786e+00	
   9.9823667e+00	  -7.3684524e+00	  -5.3139145e+00	
  -6.5424444e+01	  -8.4840476e+01	  -7.5159307e+01	
   6.4903500e+01	  -8.5869643e+01	  -7.5638456e+01	
